iter	Accuracy	MultiClass
638	0.9952531646	0.1272231517
639	0.9952531646	0.1269392847
640	0.9952531646	0.1266075504
641	0.9952531646	0.1262134508
642	0.9952531646	0.1261072361
643	0.9952531646	0.1260640851
644	0.9952531646	0.1257262369
645	0.9952531646	0.1255003037
646	0.9952531646	0.1254307688
647	0.9952531646	0.1251119795
648	0.9952531646	0.124859848
649	0.9952531646	0.1245746777
650	0.9952531646	0.1245070386
651	0.9952531646	0.1243269085
652	0.9952531646	0.1242526669
653	0.9952531646	0.124073217
654	0.9952531646	0.1238917288
655	0.9952531646	0.1237151619
656	0.9952531646	0.1234673831
657	0.9952531646	0.1232962949
658	0.9952531646	0.1230042151
659	0.9952531646	0.122817363
660	0.9952531646	0.1226300628
661	0.9952531646	0.1224883501
662	0.9952531646	0.1222080869
663	0.9952531646	0.1219897237
664	0.9952531646	0.1217328813
665	0.9952531646	0.1217045554
666	0.9952531646	0.1213722044
667	0.9952531646	0.121171879
668	0.9952531646	0.1209549274
669	0.9952531646	0.120741226
670	0.9952531646	0.120604021
671	0.9952531646	0.1204843686
672	0.9952531646	0.1202817885
673	0.9952531646	0.1201860176
674	0.9952531646	0.1200520513
675	0.9952531646	0.1199713402
676	0.9952531646	0.1197683318
677	0.9952531646	0.1196171976
678	0.9952531646	0.119416647
679	0.9952531646	0.11926095
680	0.9952531646	0.1191529897
681	0.9952531646	0.1188414405
682	0.9952531646	0.1187718709
683	0.9952531646	0.1186553505
684	0.9952531646	0.1184918358
685	0.9952531646	0.1182165936
686	0.9952531646	0.1180073297
687	0.9952531646	0.117854456
688	0.9952531646	0.1177146991
689	0.9952531646	0.117514195
690	0.9952531646	0.1172985833
691	0.9952531646	0.1171569434
692	0.9952531646	0.1169984775
693	0.9952531646	0.1166819888
694	0.9952531646	0.1165653563
695	0.9952531646	0.116374964
696	0.9952531646	0.1162095489
697	0.9952531646	0.1159342882
698	0.9952531646	0.1156151494
699	0.9952531646	0.1153815713
700	0.9952531646	0.1152858154
701	0.9952531646	0.1151822627
702	0.9952531646	0.1149690003
703	0.9952531646	0.1147976775
704	0.9952531646	0.1145172966
705	0.9952531646	0.1143299578
706	0.9952531646	0.114279369
707	0.9952531646	0.1140330047
708	0.9952531646	0.1138647499
709	0.9952531646	0.1136278092
710	0.9952531646	0.1134862709
711	0.9952531646	0.1131749983
712	0.9952531646	0.1128711152
713	0.9952531646	0.1126146243
714	0.9952531646	0.1124324204
715	0.9952531646	0.1123046574
716	0.9952531646	0.112010012
717	0.9952531646	0.1116848069
718	0.9952531646	0.1115098608
719	0.9952531646	0.1112746832
720	0.9952531646	0.1110282869
721	0.9952531646	0.1108377578
722	0.9952531646	0.1106086972
723	0.9952531646	0.1103731031
724	0.9952531646	0.1101990937
725	0.9952531646	0.110066802
726	0.9952531646	0.1099802502
727	0.9952531646	0.109947895
728	0.9952531646	0.1097942359
729	0.9952531646	0.1096928227
730	0.9952531646	0.1094676153
731	0.9952531646	0.1092942311
732	0.9952531646	0.1091501733
733	0.9952531646	0.1090747356
734	0.9952531646	0.108867047
735	0.9952531646	0.1087341973
736	0.9952531646	0.1086022635
737	0.9952531646	0.1084083476
738	0.9952531646	0.1081690462
739	0.9952531646	0.1079840301
740	0.9952531646	0.1078311621
741	0.9952531646	0.1076291071
742	0.9952531646	0.107472265
743	0.9952531646	0.107343673
744	0.9952531646	0.1072379892
745	0.9952531646	0.1072073428
746	0.9952531646	0.1069887106
747	0.9952531646	0.1068532876
748	0.9952531646	0.1068327255
749	0.9952531646	0.1066586065
750	0.9952531646	0.1064862016
751	0.9952531646	0.10626041
752	0.9952531646	0.1062395051
753	0.9952531646	0.1061324795
754	0.9952531646	0.1060478664
755	0.9952531646	0.1059157917
756	0.9952531646	0.1058659189
757	0.9952531646	0.1056963807
758	0.9952531646	0.105582651
759	0.9952531646	0.1053945916
760	0.9952531646	0.1052654318
761	0.9952531646	0.1051191204
762	0.9952531646	0.1049066151
763	0.9952531646	0.104752384
764	0.9952531646	0.1046725536
765	0.9952531646	0.1045133155
766	0.9952531646	0.1042641814
767	0.9952531646	0.1040987735
768	0.9952531646	0.1040485405
769	0.9952531646	0.1038632297
770	0.9952531646	0.1038203041
771	0.9952531646	0.103778582
772	0.9952531646	0.1036028166
773	0.9952531646	0.1035165994
774	0.9952531646	0.1034303052
775	0.9952531646	0.1032637446
776	0.9952531646	0.1031375161
777	0.9952531646	0.102944934
778	0.9952531646	0.1029195105
779	0.9952531646	0.1027460313
780	0.9952531646	0.1026882672
781	0.9952531646	0.1025954354
782	0.9952531646	0.1023282446
783	0.9952531646	0.1021373161
784	0.9952531646	0.1019766818
785	0.9952531646	0.1017814889
786	0.9952531646	0.1015401421
787	0.9952531646	0.1014830871
788	0.9952531646	0.101431699
789	0.9952531646	0.1013864157
790	0.9952531646	0.1012470149
791	0.9952531646	0.1011139904
792	0.9952531646	0.1009046331
793	0.9952531646	0.1007474719
794	0.9952531646	0.1006211697
795	0.9952531646	0.1006010034
796	0.9952531646	0.1004232313
797	0.9952531646	0.1002606382
798	0.9952531646	0.1000375352
799	0.9952531646	0.09993320107
800	0.9952531646	0.09980273521
801	0.9952531646	0.09965654491
802	0.9952531646	0.09957021506
803	0.9952531646	0.09949391126
804	0.9952531646	0.0993287735
805	0.9952531646	0.09929182464
806	0.9952531646	0.0991743092
807	0.9952531646	0.09897165859
808	0.9952531646	0.09882792352
809	0.9952531646	0.09866917753
810	0.9952531646	0.09851829401
811	0.9952531646	0.09847201255
812	0.9952531646	0.09835846685
813	0.9952531646	0.09818963859
814	0.9952531646	0.09807264111
815	0.9952531646	0.09798182413
816	0.9952531646	0.09793764743
817	0.9952531646	0.09781495446
818	0.9952531646	0.09767698521
819	0.9952531646	0.09762909996
820	0.9952531646	0.09753150933
821	0.9952531646	0.09742928636
822	0.9952531646	0.09737271419
823	0.9952531646	0.09724653725
824	0.9952531646	0.09711280178
825	0.9952531646	0.09689887509
826	0.9952531646	0.09682370367
827	0.9952531646	0.0966799787
828	0.9952531646	0.09657563651
829	0.9952531646	0.09648505463
830	0.9952531646	0.09643328892
831	0.9952531646	0.09629519748
832	0.9952531646	0.09615937315
833	0.9952531646	0.09601196749
834	0.9952531646	0.09589956459
835	0.9952531646	0.09577159594
836	0.9952531646	0.09562226265
837	0.9952531646	0.0954151898
838	0.9952531646	0.09536582421
839	0.9952531646	0.0952703136
840	0.9952531646	0.09518221861
841	0.9952531646	0.09498438269
842	0.9952531646	0.0947416447
843	0.9952531646	0.09457612127
844	0.9952531646	0.09451047999
845	0.9952531646	0.09440391692
846	0.9952531646	0.0942738682
847	0.9952531646	0.09417790873
848	0.9952531646	0.09403007948
849	0.9952531646	0.09390607359
850	0.9952531646	0.09387986288
851	0.9952531646	0.09366083024
852	0.9952531646	0.093575215
853	0.9952531646	0.09343796914
854	0.9952531646	0.09327698116
855	0.9952531646	0.09318647631
856	0.9952531646	0.09309145283
857	0.9952531646	0.0929938693
858	0.9952531646	0.09294253325
859	0.9952531646	0.09277027822
860	0.9952531646	0.09263784595
861	0.9952531646	0.09246622212
862	0.9952531646	0.09228316554
863	0.9952531646	0.09208291499
864	0.9952531646	0.09206828675
865	0.9952531646	0.09193830399
866	0.9952531646	0.09181360866
867	0.9952531646	0.09171790108
868	0.9952531646	0.09166305639
869	0.9952531646	0.09159574972
870	0.9952531646	0.09146264907
871	0.9952531646	0.09129377081
872	0.9952531646	0.09123011157
873	0.9952531646	0.09099501142
874	0.9952531646	0.09087981825
875	0.9952531646	0.09074249695
876	0.9952531646	0.09065093764
